Time,Temp,CO2
331,8.06016,3.87643
332,7.02747,2.53120
333,6.19966,2.20202
334,7.43247,2.02556
335,9.36438,3.17631
336,8.63977,3.90920
337,8.41481,3.91274
338,8.11806,3.84589
339,7.96976,3.92171
340,8.23767,4.86729
341,13.11374,3.94818
342,11.14179,3.75569
343,18.62424,4.87008
344,14.57214,4.21998
345,9.29610,4.03925
346,5.66532,4.03337
347,9.40910,2.39793
348,5.10891,2.74704
349,7.00887,5.79626
350,10.50487,3.51412
351,6.79872,1.21833
352,14.58388,3.92796
353,10.48115,3.29537
354,10.48375,5.96107
355,4.75387,3.97413
356,8.18323,1.29348
357,11.96562,4.44246
358,7.83513,2.64702
359,9.50496,1.11907
360,6.00976,1.89473
361,9.26374,1.08895
362,14.65530,2.49192
363,4.91480,3.22668
364,10.50367,1.37960
365,8.90855,1.10329
