x,y,rPRCP,rRS
-893,-618,111,511.466064453125
-793,-618,151,567.914672851562
-693,-618,235,415.551177978516
-593,-618,414,574.967163085938
-493,-618,320,518.802734375
-393,-618,294,495.120086669922
-293,-618,293,428.939666748047
-193,-618,251,615.627685546875
-93,-618,312,583.508239746094
7,-618,349,809.713806152344
107,-618,416,1010.9892578125
207,-618,594,1078.07727050781
307,-618,600,1153.36450195312
407,-618,574,1279.267578125
507,-618,744,778.588012695312
607,-618,766,842.181640625
707,-618,785,1088.13781738281
807,-618,834,972.770141601562
907,-618,1016,1330.5693359375
1007,-618,915,1144.93005371094
1107,-618,925,1320.49877929688
1207,-618,1167,1064.58093261719
1307,-618,1161,1111.97973632812
1407,-618,1156,1019.15808105469
1507,-618,1281,1054.58483886719
1607,-618,1287,1037.07409667969
1707,-618,1097,1040.306640625
1807,-618,860,1298.02282714844
1907,-618,860,1082.94213867188
2007,-618,1035,1434.10876464844
2107,-618,1380,1365.63793945312
-1993,-718,1102,799.881530761719
-1893,-718,406,1158.64697265625
-1793,-718,194,428.016479492188
-1693,-718,235,614.065002441406
-1593,-718,58,255.664260864258
-1493,-718,62,823.957397460938
-1393,-718,127,634.229431152344
-1293,-718,297,542.228515625
-1193,-718,374,418.4580078125
-1093,-718,329,554.62890625
-993,-718,128,547.585876464844
-893,-718,124,514.826843261719
-793,-718,268,557.444519042969
-693,-718,445,631.67041015625
-593,-718,361,540.251892089844
-493,-718,227,604.148803710938
-393,-718,129,538.752685546875
-293,-718,167,393.373046875
-193,-718,233,634.715393066406
-93,-718,293,711.090759277344
7,-718,451,695.749938964844
107,-718,429,1002.10095214844
207,-718,539,1257.79760742188
307,-718,588,899.768493652344
407,-718,594,1298.07189941406
507,-718,700,1248.63342285156
607,-718,779,1324.72680664062
707,-718,810,1029.61791992188
807,-718,852,1085.73522949219
907,-718,815,1068.44860839844
1007,-718,860,1282.88256835938
1107,-718,887,1069.44116210938
1207,-718,1159,726.904296875
1307,-718,1212,821.272338867188
1407,-718,1272,912.117980957031
1507,-718,1321,1053.83288574219
1607,-718,1260,985.6845703125
1707,-718,1149,1250.37731933594
1807,-718,936,1090.23864746094
1907,-718,1090,1007.92755126953
2007,-718,1277,1146.86047363281
2107,-718,1411,1117.15563964844
2207,-718,1568,1050.25659179688
-1893,-818,453,258.524719238281
-1793,-818,132,294.617706298828
-1693,-818,149,332.473999023438
-1593,-818,36,224.652725219727
-1493,-818,56,366.410888671875
-1393,-818,134,194.651382446289
-1293,-818,155,180.906158447266
-1193,-818,231,587.426086425781
-1093,-818,160,539.820068359375
-993,-818,94,293.601501464844
-893,-818,115,468.578216552734
-793,-818,146,563.716247558594
-693,-818,221,566.988464355469
-593,-818,167,540.949890136719
-493,-818,171,503.87109375
-393,-818,136,525.544555664062
-293,-818,212,529.638977050781
-193,-818,248,537.531921386719
-93,-818,322,743.392578125
7,-818,460,812.73291015625
107,-818,475,760.877075195312
207,-818,596,1098.32165527344
307,-818,650,1239.76171875
407,-818,955,1234.61755371094
507,-818,1036,1319.55651855469
607,-818,893,1101.86584472656
707,-818,861,1126.77502441406
807,-818,871,1117.12036132812
907,-818,905,972.005798339844
1007,-818,893,1311.09973144531
1107,-818,1076,1323.46887207031
1207,-818,1143,720.75732421875
1307,-818,1195,762.084289550781
1407,-818,1365,880.669189453125
1507,-818,1183,1081.71118164062
1607,-818,1408,1064.42736816406
1707,-818,1089,1258.71179199219
1807,-818,1054,1205.21154785156
1907,-818,1132,1106.00109863281
2007,-818,1582,1201.20324707031
2107,-818,1606,1329.62878417969
2207,-818,1706,923.958740234375
-1893,-918,372,303.687164306641
-1793,-918,157,803.367858886719
-1693,-918,225,307.25537109375
-1593,-918,52,226.714263916016
-1493,-918,61,347.642425537109
-1393,-918,207,499.821197509766
-1293,-918,197,216.581649780273
-1193,-918,329,579.455749511719
-1093,-918,291,418.888305664062
-993,-918,269,539.550415039062
-893,-918,169,535.325622558594
-793,-918,120,544.841003417969
-693,-918,144,429.347473144531
-593,-918,333,609.581237792969
-493,-918,227,537.778259277344
-393,-918,199,419.088745117188
-293,-918,212,577.547119140625
-193,-918,347,590.985900878906
-93,-918,272,759.365844726562
7,-918,362,690.422241210938
107,-918,470,767.692321777344
207,-918,590,1062.99255371094
307,-918,788,1261.44116210938
407,-918,894,1396.57995605469
507,-918,812,1519.96447753906
607,-918,865,1113.42407226562
707,-918,923,1098.66491699219
807,-918,847,1021.91754150391
907,-918,830,1333.65173339844
1007,-918,984,1319.10473632812
1107,-918,1181,1341.92797851562
1207,-918,1276,724.130310058594
1307,-918,1362,806.696533203125
1407,-918,1416,1201.83874511719
1507,-918,1700,1184.36901855469
1607,-918,1242,1159.1591796875
1707,-918,1030,990.376220703125
1807,-918,1252,859.254760742188
1907,-918,1286,1124.99157714844
2007,-918,1417,1403.26513671875
2107,-918,1268,1233.63647460938
-1893,-1018,854,364.744995117188
-1793,-1018,309,575.735595703125
-1693,-1018,281,376.229553222656
-1593,-1018,98,177.052154541016
-1493,-1018,84,326.431640625
-1393,-1018,155,326.431640625
-1293,-1018,165,498.558410644531
-1193,-1018,335,507.209014892578
-1093,-1018,386,563.7060546875
-993,-1018,127,502.207611083984
-893,-1018,156,498.095153808594
-793,-1018,194,429.447448730469
-693,-1018,143,426.946838378906
-593,-1018,151,498.159606933594
-493,-1018,286,412.235260009766
-393,-1018,223,542.137573242188
-293,-1018,227,471.638977050781
-193,-1018,262,660.539306640625
-93,-1018,365,616.080139160156
7,-1018,410,712.7529296875
107,-1018,498,1051.16467285156
207,-1018,619,944.711059570312
307,-1018,669,1080.85278320312
407,-1018,776,1284.30456542969
507,-1018,893,1325.80163574219
607,-1018,917,1284.43139648438
707,-1018,1028,1425.89916992188
807,-1018,910,968.082397460938
907,-1018,983,1328.50061035156
1007,-1018,1260,660.333679199219
1107,-1018,1322,1267.98681640625
1207,-1018,1426,1335.40795898438
1307,-1018,1498,1277.91076660156
1407,-1018,1366,849.245239257812
1507,-1018,1121,1267.98657226562
1607,-1018,1097,1410.10083007812
1707,-1018,1081,1297.28845214844
1807,-1018,1106,1316.07983398438
1907,-1018,1286,1362.85083007812
2007,-1018,1218,1403.26513671875
-1793,-1118,245,287.713836669922
-1693,-1118,209,319.725860595703
-1593,-1118,226,347.680450439453
-1493,-1118,22,327.026275634766
-1393,-1118,106,294.440093994141
-1293,-1118,123,387.249481201172
-1193,-1118,212,343.966003417969
-1093,-1118,362,468.381378173828
-993,-1118,423,707.934814453125
-893,-1118,183,548.396240234375
-793,-1118,196,542.178894042969
-693,-1118,164,474.332061767578
-593,-1118,131,480.825469970703
-493,-1118,173,551.070861816406
-393,-1118,119,543.119445800781
-293,-1118,256,504.993438720703
-193,-1118,407,501.409606933594
-93,-1118,435,664.186950683594
7,-1118,509,735.376159667969
107,-1118,504,708.42333984375
207,-1118,667,997.184753417969
307,-1118,752,1031.96350097656
407,-1118,961,1284.30456542969
507,-1118,1024,1154.33386230469
607,-1118,1131,1245.56677246094
707,-1118,1038,983.883605957031
807,-1118,1083,1284.99926757812
907,-1118,1045,1333.25561523438
1007,-1118,1421,690.574768066406
1107,-1118,1585,696.261352539062
1207,-1118,1544,1289.4560546875
1307,-1118,1259,1421.5107421875
1407,-1118,1073,1112.86669921875
1507,-1118,1058,1026.25231933594
1607,-1118,931,1276.23107910156
1707,-1118,1223,881.214477539062
1807,-1118,1174,1160.40258789062
1907,-1118,1296,1179.17712402344
-1593,-1218,220,284.742156982422
-1493,-1218,48,331.626251220703
-1393,-1218,33,204.179840087891
-1293,-1218,93,442.029541015625
-1193,-1218,115,381.721069335938
-1093,-1218,191,334.600463867188
-993,-1218,309,652.751403808594
-893,-1218,287,601.37451171875
-793,-1218,309,597.50048828125
-693,-1218,207,522.652587890625
-593,-1218,147,552.966247558594
-493,-1218,183,454.411376953125
